"taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4827073	Dryopithecus Lartet"," 1856	4827073	Dryopithecus Lartet"," 1856	5	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Hominidae	5483	Dryopithecus	4827073			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11123470	Necrolemur zitteli Schlosser"," 1887	11123470	Necrolemur zitteli Schlosser"," 1887	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Microchoeridae	3239628	Necrolemur	4827074	Necrolemur zitteli	11123470	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4974460	Plesiolestes problematicus (Jepsen"," 1930)	4974460	Plesiolestes problematicus (Jepsen"," 1930)	10	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Palaechthonidae	4827440	Plesiolestes	4827441	Plesiolestes problematicus	4974460	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4974595	Copelemur praetutus (Gazin"," 1962)	8851773	Pelycodus praetutus (Gazin"," 1962)	5	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Notharctidae	3239591	Copelemur	4827732	Pelycodus praetutus	8851773	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8561399	Rooneyia viejaensis Wilson"," 1966	8561399	Rooneyia viejaensis Wilson"," 1966	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Omomyidae	4827112	Rooneyia	4827131	Rooneyia viejaensis	8561399	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4974567	Periconodon lemoinei (Gingerich"," 1977)	4974567	Periconodon lemoinei (Gingerich"," 1977)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Ekgmowechashalidae	8583146	Periconodon	4827139	Periconodon lemoinei	4974567	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8916248	Agerinia smithorum Femenias-Gual", Minwer-Barakat, Marigó & Moyà-Solà," 2016	8916248	Agerinia smithorum Femenias-Gual", Minwer-Barakat, Marigó & Moyà-Solà," 2016	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Adapidae	3239541	Agerinia	3239542	Agerinia smithorum	8916248	",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4974633	Paukkaungia parva Beard", Marivaux, Tun, Soe, Chaimanee, Htoon, Marandat, Aung & Jaeger," 2007	4974633	Paukkaungia parva Beard", Marivaux, Tun, Soe, Chaimanee, Htoon, Marandat, Aung & Jaeger," 2007	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Sivaladapidae	4827474	Paukkaungia	4827509	Paukkaungia parva	4974633	",,,,,,,,,,,,,,,,,,
"4827204	Picrodus Douglass"," 1908	4827204	Picrodus Douglass"," 1908	5	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Picrodontidae	4827202	Picrodus	4827204			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9165159	Galago crassicaudatus lonnbergi Schwarz"," 1930	4267301	Otolemur crassicaudatus kirkii (Gray"," 1865)	7	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Galagidae	3239554	Otolemur	2436509	Otolemur crassicaudatus	8978926	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
