"taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4267068	Trachypithecus hatinhensis (Dao"," 1970)	4267068	Trachypithecus hatinhensis (Dao"," 1970)	40	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Trachypithecus	2436533	Trachypithecus hatinhensis	4267068	EN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9068813	Otolemur crassicaudatus argentatus (Lönnberg"," 1913)	9068813	Otolemur crassicaudatus argentatus (Lönnberg"," 1913)	18	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Galagidae	3239554	Otolemur	2436509	Otolemur crassicaudatus	8978926	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5786091	Alouatta discolor (Spix"," 1823)	5786091	Alouatta discolor (Spix"," 1823)	55	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Atelidae	3239607	Alouatta	2436647	Alouatta discolor	5786091	VU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2436417	Eulemur Simons & Rumpler"," 1988	2436417	Eulemur Simons & Rumpler"," 1988	57	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Lemuridae	5485	Eulemur	2436417			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5786046	Loris lydekkerianus nordicus Hill"," 1933	5786046	Loris lydekkerianus nordicus Hill"," 1933	4	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Lorisidae	3239561	Loris	2436625	Loris lydekkerianus	7262073	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9060648	Macaca fascicularis philippensis (I.Geoffroy Saint-Hilaire"," 1843)	7262038	Macaca fascicularis fascicularis (Raffles"," 1821)	139	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Macaca	2436602	Macaca fascicularis	2436603	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11156895	Chlorocebus pygerythrus zavattarii (de Beaux"," 1943)	11156895	Chlorocebus pygerythrus zavattarii (de Beaux"," 1943)	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Chlorocebus	2436565	Chlorocebus pygerythrus	7262034	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4267162	Macaca fascicularis condorensis Kloss"," 1926	4267162	Macaca fascicularis condorensis Kloss"," 1926	18	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Macaca	2436602	Macaca fascicularis	2436603	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9538844	Cheirogaleus shethi Frasier", Lei, McLain, Taylor, Bailey et al.," 2016	9538844	Cheirogaleus shethi Frasier", Lei, McLain, Taylor, Bailey et al.," 2016	7	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cheirogaleidae	9419	Cheirogaleus	2436450	Cheirogaleus shethi	9538844	EN",,,,,,,,,,,,,,,,,,,,,,,,
"4267321	Gorilla gorilla diehli Matschie"," 1903	4267321	Gorilla gorilla diehli Matschie"," 1903	33	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Hominidae	5483	Gorilla	2436440	Gorilla gorilla	2436441	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
